ID,PDB code,pKd pKi pIC50,Canonical SMILES
4014,5g1a,6.57,ONC(=O)C(C(C(C(C(C(C(=O)Nc1ccccc1)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F
4015,5g1z,5.32,CCOC(=O)c1cnc2c(c1SCCC#N)cc(cc2)OC
4016,5g2b,7,COc1ccc(cc1c1ccc(cc1)C(=O)NCC(=O)N)C1=NN(C2CCCCCC2)C(=O)[C@H]2[C@@H]1CC=CC2
4017,5g2g,6.05,Oc1ccc2c(c1)ccc1c2C=C[C@]2(C1=CCC2=O)C
4018,5g45,3.3,Oc1cnc2c(c1)cccc2N
4019,5g46,2.6,CCc1cc(=O)c2c([nH]1)cccc2
4020,5g4m,3.86,C[NH2+]Cc1ccc2c(c1)c1ccccc1n2CCF
4021,5g4n,4,C[NH2+]Cc1ccc2c(c1)c1ccccc1n2CC(F)F
4022,5g4o,4.43,C[NH+](Cc1ccc2c(c1)c1ccccc1n2CC(F)(F)F)C
4023,5g57,8.4,COc1ccc(cc1OCCCCOc1ccc(cc1)c1nnn[nH]1)C1=NN(C2CCCCCC2)C(=O)[C@H]2[C@@H]1CC=CC2
4024,5g5f,5.28,SC[C@@H](C(=O)NCC(=O)O)NC(=O)CC[C@@H](C(=O)O)[NH3+]
4025,5g5v,6.7,COc1ccc(cc1c1ccc(cc1)C(=O)N1CC[C@H](C1)O)C1=NN(C(C)C)C(=O)[C@H]2[C@@H]1CC=CC2
4026,5g5z,5.66,OC[C@H]1O[C@@]([C@H]([C@@H]1O)O)(CO[C@]1(CO)O[C@@H]([C@H]([C@@H]1O)O)CO)O[C@H]1O[C@H](CO)[C@H]([C@@H]([C@H]1O)O)O
4027,5g60,6.52,OC[C@H]1O[C@]([C@H]([C@@H]1O)O)(OC[C@@]1(O[C@H]2O[C@H](CO)[C@H]([C@@H]([C@H]2O)O)O)O[C@@H]([C@H]([C@@H]1O)O)CO)CO[C@]1(CO)O[C@@H]([C@H]([C@@H]1O)O)CO
4028,5g61,6.4,OC[C@H]1O[C@@]([C@H]([C@@H]1O)O)(CO[C@]1(CO[C@]2(CO)O[C@@H]([C@H]([C@@H]2O)O)CO)O[C@@H]([C@H]([C@@H]1O)O)CO)OC[C@@]1(O[C@H]2O[C@@H](CO)[C@H]([C@H]([C@H]2O)O)O)O[C@@H]([C@@H]([C@H]1O)O)CO
4029,5gj9,4.99,OC(=O)c1cnccn1
4030,5gja,5.55,OC(=O)c1ccccn1
4031,5gmh,6.31,CCOCc1nc2c(n1CC(O)(C)C)c1ccccc1nc2N
4032,5gmn,4.73,Fc1cccc(c1)C1=C(OC(C1=O)(C)C)c1ccc(cc1)S(=O)(=O)N
4033,5gof,4.05,O[C@@H]1[C@@H](COP(OP(OP(O)(O)O)(O)O)(O)O)O[C@H]([C@@H]1O)n1cnc2c1[nH]c(N)[nH+]c2=O
4034,5gs9,5.26,OC(=O)[C@H](CCC[NH+]=C(N)N)[NH3+]
4035,5gsa,7.09,CS(=O)(=O)c1ccc(cc1)c1cnc(n2c1nnc2)NCc1ccco1
4036,5h1t,3.8,COC(=O)N1CCCc2c1ccc(c2)N
4037,5h1u,3.51,Nc1nc2c(s1)cc(cc2)C(=O)N
4038,5h1v,4,[NH3+]Nc1sc2c(n1)ccc(c2)C(=O)N[NH3+]
4039,5h5f,4.43,C[S@](C[C@H]1O[C@H]([C@@H]([C@@H]1O)O)n1cnc2c1ncnc2N)CC[C@@H](C(=O)O)[NH3+]
4040,5h85,4.7,COC(=O)c1cccc(c1)C(=O)Nc1ncnc2c1[nH]cn2
4041,5h8e,11.2,N#Cc1cnn2c1nc(Nc1ccc(c(c1)NC(=O)C)N(CC[NH3+])C)cc2N[C@@H]1C=C1
4042,5h8g,10.32,N#Cc1cnn2c1nc(Nc1ccc(c(c1)NC(=O)C)N(CC[NH+](C)C)C)cc2N[C@@H]1C=C1
4043,5h9r,6.08,OC[C@H]1O[C@@H](S[C@@H]2O[C@H](CO)[C@@H]([C@@H]([C@H]2O)O)O)[C@@H]([C@H]([C@H]1O)n1nnc(c1)c1cccc(c1)F)O
4044,5ha1,7.19,[NH3+]C/C=C(/C=C/C=C(/C=C/C1=C(C)CCCC1(C)C)\C)\C
4045,5hbn,4.89,OC(=O)[C@H](CCC/[NH+]=C(/NP(O)(O)O)\N)[NH3+]
4046,5hbs,7.73,OC/C=C(/C=C/C=C(/C=C/C1=C(C)CCCC1(C)C)\C)\C
4047,5hct,7.6,Cc1cccc(c1)/C=N/NC(=O)[C@H](Cc1c[nH]c2c1cccc2)[NH3+]
4048,5hcv,8.7,O=C1COc2c(N1)cc(cc2)/C=C/1\c2ccccc2COc2c1ccc(c2)F
4049,5hcy,8.92,O=C(c1cn(c2c1cnc(c2)Nc1ccnc(n1)c1cnn(c1)S(=O)(=O)C1CC1)C(C)C)NC1CCOCC1
4050,5hi7,7.85,C[NH+](CCC[N@H+](C[C@H]1O[C@H]([C@@H]([C@@H]1O)O)n1cnc2c1ncnc2N)CC[C@@H](C(=O)O)[NH3+])C
4051,5his,4.71,OC(=O)c1sccc1C
4052,5hjq,4.72,O[C@@H]1[C@@H](OP(O)(O)O)[C@H](OP(O)(O)O)[C@H]([C@@H]([C@@H]1O)OP(O)(O)O)O
4053,5hrv,5.29,CCc1[nH]nc2c1c1ccccc1c(=O)o2
4054,5hrw,5.48,CCCc1n[nH]c2c1c1ccccc1c(=O)o2
4055,5hrx,5.29,CCCCc1n[nH]c2c1c1ccccc1c(=O)o2
4056,5htl,6.3,O[C@@H]1[C@@H]2OP(O)(O)OC[C@H]3O[C@H]([C@@H]([C@@H]3OP(OC[C@H]2O[C@H]1n1cnc2c1nc(N)[nH]c2=O)(O)O)O)n1cnc2c1nc(N)[nH]c2=O
4057,5htz,8.62,CC#Cc1cncc(c1)c1cc(c(s1)[C@@]1(C)NC(=[N+](S(=O)(=O)C1)C)N)Cl
4058,5hu9,7.62,C[N@@H+]1CC[N@H+](CC1)Cc1ccc(cc1C(F)(F)F)C(=O)Nc1ccc(c(c1)OC1CCN(CC1)C(=O)c1cccnc1)C
4059,5hva,7.07,O[C@H]1C[C@@H](O[C@@H]1COP(NP(OP(O)(O)O)(O)O)(O)O)n1ccc(=O)[nH]c1=O
4060,5hvs,7.15,OC(=O)c1cccc(c1)Oc1cccc2c1ccc(n2)c1nnn(c1)c1ccc(c(c1)F)O
4061,5hvt,7.26,COc1ccc(cc1)N1Cc2ccc(cc2OC1=O)O
4062,5hwu,5.27,O[C@H]1C[C@@H](O[C@@H]1COP(NP(OP(O)(O)O)(O)O)(O)O)n1ccc(=O)[nH]c1=O
4063,5hwv,5.07,Cc1ccccc1
4064,5hz5,7.07,Clc1ccc2c(c1)c(c1ccccc1)c(c(n2)N1CCCCC1)c1nnn[nH]1
4065,5hz6,7.8,Clc1ccc2c(c1)c(c1cccc(c1)C(C)C)c(c(n2)C(C)C)C(=O)O
4066,5hz8,6.4,Clc1cc(Cl)c2c(c1)c(c1ccccc1)c(c(n2)N1CCCCC1)C(=O)O
4067,5hz9,7.03,Clc1ccc2c(c1)c(c1ccccc1)c(c(n2)C)C(=O)O
4068,5i1q,7.92,C=CCCN1C[C@@H](c2cccc(c2)C(=O)N(C)C)c2c(C1=O)[nH]cc2
4069,5i29,7.82,CN(C(=O)c1cccc(c1)c1cn(C)c(=O)c2c1cc[nH]2)C
4070,5i2e,6.64,O=C(NS(=O)(=O)OC[C@H]1O[C@H]([C@@H]([C@@H]1O)O)n1cnc2c1ncn1c2ncc1)CCc1c[nH]c2c1cccc2
4071,5i2f,6.49,CC(=O)NS(=O)(=O)NC[C@H]1O[C@H]([C@@H]([C@@H]1O)O)n1cnc2c1ncnc2N
4072,5i3a,5.05,Oc1ccc(cc1)O
4073,5i3v,7.8,O=C([C@@H](Cc1cc2cc(ccc2nc1N)c1ncccc1C)C)NCCC(C)(C)C
4074,5i3w,9.22,Clc1ccc(nc1)C(=O)Nc1ccc2c(c1)[C@@]1(COC(=[NH+]1)N)c1c(O2)cnc(c1)C1=COCC=C1
4075,5i3x,8.1,O=C(CCc1cc2cc(ccc2nc1N)c1ccccc1C#CCC1(CC1)NC(=O)c1ccc(cc1)F)NCCC(C)(C)C
4076,5i3y,9.4,O=C(CCc1cc2cc(ccc2nc1N)c1ccccc1CCc1ccc(cn1)NC(=O)c1ccc(cc1)F)NCCC(C)(C)C
4077,5i7x,7.28,CN(C(=O)c1cccc(c1)c1cn(C)c(=O)c2c1cc[nH]2)C
4078,5i7y,7.28,C/C=C/Cn1cc(c2cccc(c2)C(=O)N(C)C)c2c(c1=O)[nH]cc2
4079,5i80,7.21,CN(C(=O)c1cccc(c1)c1cn(C)c(=O)c2c1cc[nH]2)C
4080,5i88,6.6,C/C=C/Cn1cc(c2cccc(c2)C(=O)N(C)C)c2c(c1=O)[nH]cc2
4081,5i8g,7.52,C[C@@H]1CC(=O)Nc2c(N1)c(ccc2)c1ccc2c(c1)c(nn2C)c1cnn(c1)C
4082,5i9x,7.52,COc1cc2c(cc1OCCC[N@@H+]1CC[N@H+](CC1)C)ncc(c2Nc1cc(OC)c(cc1Cl)Cl)C#N
4083,5i9y,8.55,OCC[NH+]1CCN(CC1)c1cc(nc(n1)C)Nc1ncc(s1)C(=O)Nc1c(C)cccc1Cl
4084,5i9z,8.05,CO[C@@H](C(=O)n1cc2c(c1)c(n[nH]2)NC(=O)c1ccc(cc1)N1CC[N@H+](CC1)C)c1ccccc1
4085,5ia0,6.73,COc1cccc(c1C1=NCc2c(c3c1cc(Cl)cc3)nc(nc2)Nc1ccc(c(c1)OC)C(=O)O)F
4086,5ia1,6.28,Clc1ccc2c(c1)C(=NCc1c2nc(nc1)Nc1ccc(cc1)C(=O)O)c1c(F)cccc1F
4087,5ia2,7.72,COc1ccccc1n1c(cn2c1nc1c2c(=O)[nH]c(=O)n1C)c1cc(O)ccc1C
4088,5ia3,7.34,CSc1cccc(c1)Nc1ncc2c(n1)n(C)c(=O)c(c2)c1c(Cl)cccc1Cl
4089,5ia4,7.28,COc1cc2c(ccnc2cc1OCCC[NH+]1CCOCC1)Oc1ccc(cc1F)NC(=O)C1(CC1)C(=O)Nc1ccc(cc1)F
4090,5ia5,7.6,C[N@@H+]1CC[N@@H+](CC1)C1CCN(CC1)C(=O)Nc1nccc(c1)Oc1ccc(c(c1)F)NC(=O)C1(CC1)C(=O)Nc1ccc(cc1)F
4091,5ie1,6.85,O=C(CCc1cc2cc(ccc2nc1N)c1ccccc1C)NCCC(C)(C)C
4092,5igm,7.38,CCOC(=O)Nc1cc(n[n+]2c1[nH]nc2C)c1ccc(c(c1)NS(=O)(=O)C)C
4093,5ih9,8.7,C[NH+]1CCN(CC1)c1ccc(cc1)n1ncc(c1)c1ccncc1OCC1CC[NH2+]CC1
4094,5ihh,6.41,COc1cc(O)c2c(c1)oc(cc2=O)c1ccc(c(c1)O)O
4095,5ii2,4.89,Oc1cc(O)c2c(c1)oc(cc2=O)c1ccc(c(c1)O)O
4096,5ijr,3.2,NC(=[NH+]CCCC[C@@H](C(=O)O)[NH3+])N
4097,5ikb,8.72,OC(=O)C[C@H]1[C@H](C[NH2+][C@@H]1C(=O)O)C(=C)C
4098,5ime,8.34,CNc1ncc2c(n1)n(CCC[NH3+])c(=O)c(c2)c1ccc(cc1Cl)n1ccnc(c1=O)C
4099,5ioz,4.96,O=C(C1CCCC1)NCC1CCCC1
4100,5ipc,4.89,O[C@@H]1[C@@H](CSP(NCCc2c[nH]c3c2cccc3)(O)O)O[C@H]([C@@H]1O)n1cnc2c1[nH+]c(N)[nH]c2=O
4101,5ipj,8.89,C[C@H]1NC(=O)c2c1[nH]c(c2)c1cccc2c1[nH]c(NC(C)(C)C)[n+](c2=O)C
4102,5irr,5.27,O[C@@H]1[C@@H](COP(OP(OP(S)(O)O)(O)O)(O)O)O[C@H]([C@@H]1O)n1cnc2c1[nH]c(N)[nH+]c2=O
4103,5isz,4.49,[NH3+]CC(=O)N[C@H](C(=O)N[C@H](C(=O)NCC(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)O)CC(C)C)[C@H](O)C)Cc1ccccc1)C(C)C)Cc1ccccc1)CC(C)C)[C@H](CC)C
4104,5ito,4.16,OC(=O)[C@@H]([NH2+][C@@H](C(=O)O)C)CCC[NH+]=C(N)N
4105,5itp,5,OC(=O)[C@@H]([NH2+][C@@H](C(=O)O)C)CCC[NH+]=C(N)N
4106,5ivc,5.92,O=C(c1ccnc(c1)c1nccc(c1)C(=O)O)NCCc1ccccc1
4107,5ive,7.57,N#Cc1cnn2c1[nH]c(C)c(c2=O)C(C)C
4108,5ivv,6.35,OC(=O)c1ccncc1Nc1cn(c2c1cccn2)C
4109,5ivy,6.44,O=C(Nc1cnccc1C(=O)O)Cc1ccc(cc1)Cl
4110,5iwg,6.46,O=C(C1CCOCC1)Nc1cc(ccc1N)c1ccc(cc1)F
4111,5ix0,6.28,O=C([C@@H]1C[C@H]2CC[C@@H](C1)O2)Nc1cc(ccc1N)c1ccc(cc1)F
4112,5iyy,4.77,O=C(N[C@H](C(=O)O)CCCNC(=[NH2+])N)OCc1ccccc1
4113,5izf,9.74,O=C(N[C@@H](C(=O)NCCCCCC(=O)N[C@@H](C(=O)N)CCC[NH+]=C(N)N)CCC[NH+]=C(N)N)CCCCCCCC(=O)N1CCN(CC1)c1ncnc2c1cc[nH]2
4114,5izj,11.52,O=C(N[C@@H](C(=O)N[C@@H](C(=O)O)CCC[NH+]=C(N)N)CCC[NH+]=C(N)N)CCCCCCCC(=O)N1CCN(CC1)c1ncnc2c1cc[nH]2
4115,5j0d,6.87,CCC(=O)N1CCOc2c(C1)cc(cc2C(=O)N[C@H]1CCC[N@H+](C1)C)c1cc(OC)cc(c1)OC
4116,5j1r,4.66,O=C(n1cccc1)CCc1cocc1
4117,5j1x,5.52,OC(=O)[C@@H](NC(=O)OC(C)(C)C)CCC[NH+]=C(N)N
4118,5j20,9.14,Oc1cc(O)c(cc1C(=O)N(Cc1ccco1)C)c1n[nH]c(=O)n1c1ccccc1F
4119,5j27,6.74,CCCN(S(=O)(=O)c1cc(c(cc1O)O)c1n[nH]c(=O)n1c1ccccc1F)C
4120,5j2x,7.74,Oc1cc(O)c(cc1c1n[nH]c(=O)n1c1ccccc1F)Br
4121,5j3l,4.8,O=S(=O)(N1CCCC1)CCC1CCCC1
4122,5j41,3.7,COc1cc(cc(c1OC)OC)[C@H](CC(=O)O)SC[C@@H](C(=O)NCC(=O)O)NC(=O)CC[C@@H](C(=O)O)[NH3+]
4123,5j64,6.85,Oc1ccc(c(c1)O)c1n[nH]c(=O)n1c1ccccc1F
4124,5j6a,7.77,NC(=O)C[C@@H](C(=O)N1CC[C@H](CC1)Nc1ccc2c(c1)CN(C2)S(=O)(=O)c1ccc(cc1O)O)[NH3+]
4125,5j6l,7.89,CCCCN(C(=O)c1cc(c(cc1O)O)c1n[nH]c(=O)n1c1ccccc1F)C
4126,5j6m,8.57,Oc1cc(O)c(cc1C(=O)N(Cc1ccco1)C)c1n[nH]c(=O)n1c1ccccc1F
4127,5j6n,7.77,CCCN(S(=O)(=O)c1cc(c(cc1O)O)c1n[nH]c(=O)n1c1ccccc1F)C
4128,5j7q,4.58,Oc1cc(ccc1O)c1nc2n(c1)cccc2
4129,5j7w,4.89,OC(=O)CC[C@@H](C(=O)O)NC(=O)c1ccc(cc1)N(Cc1cnc2c(n1)c(N)nc(n2)N)C
4130,5j82,6,CC(N(S(=O)(=O)c1cc(c(cc1O)O)c1n[nH]c(=O)n1c1ccccc1F)C)C
4131,5j86,8.26,Oc1cc(O)c(cc1C(=O)N(Cc1cccs1)C)c1n[nH]c(=O)n1c1ccccc1C
4132,5j8m,6.8,Oc1cc(O)c(cc1c1n[nH]c(=O)n1c1ccccc1F)Br
4133,5j8u,6.47,Oc1ccc(c(c1)O)c1n[nH]c(=O)n1c1ccccc1F
4134,5j8z,8.3,N#Cc1c(=O)[nH]c(nc1c1ccc(cc1)Cl)S[C@@H](C(=O)Nc1ccc(cc1)S(=O)(=O)N)C
4135,5j9x,7.77,CCCCN(C(=O)c1cc(c(cc1O)O)c1[nH][nH]c(=O)n1c1ccccc1F)C
4136,5ja0,5.22,C/C(=C\COP(OP(O)(O)O)(O)O)/CC/C=C(/CCC=C(C)C)\C
4137,5jfp,9.32,COc1ccc(cc1)S(=O)(=O)N(C[C@H]([C@H](C[C@]12C[C@H]3C[C@@H](C2)C[C@@H](C1)C3)NC(=O)O[C@H]1CO[C@@H]2[C@H]1CCO2)O)CC(C)C
4138,5jfu,8.07,COc1ccc(cc1)S(=O)(=O)N(C[C@H]([C@H](C[C@]12C[C@H]3C[C@@H](C2)C[C@@H](C1)C3)NC(=O)O[C@H]1CO[C@@H]2[C@H]1CCO2)O)Cc1ccccc1
4139,5jg1,8.72,COc1ccc(cc1)S(=O)(=O)N(C[C@H]([C@H](C[C@]12C[C@H]3C[C@@H](C2)C[C@@H](C1)C3)NC(=O)O[C@H]1CO[C@@H]2[C@H]1CCCO2)O)CC(C)C
4140,5jgi,4.3,CC(=O)N[C@H](C(=O)O)CCC[NH+]=C(N)N
4141,5jgq,4.62,OC(=O)[C@@H](NC(=O)c1ccccc1)CCCNC(=[NH2+])N
4142,5jhb,6.06,OCC1(CCl)CN(C1)c1nc(nc(n1)c1cnc(cc1C(F)(F)F)N)N1CCOCC1
4143,5jhk,4.64,O=C(N[C@H](C(=O)O)CCCNC(=[NH2+])N)CNC(=O)c1ccccc1
4144,5ji8,4.63,Nc1nc2c(s1)cc(cc2)C(=O)N
4145,5jop,9.41,OC[C@H]1O[C@@H](OC[C@H]2O[C@@H](O)[C@@H]([C@H]([C@@H]2O[C@@H]2O[C@H](CO)[C@@H]([C@@H]([C@H]2O)O)O)O)NC(=O)C)[C@@H]([C@H]([C@@H]1O[C@@H]1O[C@H](CO)[C@@H]([C@@H]([C@H]1O)O)O)O)O
4146,5jox,4.46,OC[C@@H]1[NH2+]C[C@@H]([C@H]1O)O
4147,5jq5,5.63,O[C@H]1C[NH2+]CC[C@@H]1CNc1cc(NCc2ccccc2)n2c(n1)c(cn2)C(C)C
4148,5js3,6.73,CC(C[C@@H](C(=O)NC[C@H](C(C)(C)C)C)NP(CNC(=O)OCc1ccccc1)(O)O)C
4149,5jsg,4.85,O=C(c1ccc(c(c1)Nc1ccccc1)C(=O)N1CCC(CC1)CC[NH+]1CCCC1)N1CCC(CC1)CC[NH+]1CCCC1
4150,5jsj,5.4,O=C(c1ccc(c(c1)Nc1ccc(cc1)OC[NH+]1CCCC1)C(=O)N1CCC(CC1)CC[NH+]1CCCC1)N1CCC(CC1)CC[NH+]1CCCC1
4151,5jsq,4.67,Nc1[nH]c2n(CCCCCCP(O)(O)O)cnc2c(=O)[nH+]1
4152,5jss,6.45,CC(C[C@@H](C(=O)NC[C@@H](C(C)(C)C)C)NP(CNC(=O)OCc1ccccc1)(O)O)C
4153,5jt9,6.63,CC(C[C@@H](C(=O)N)NP(CNC(=O)OCc1ccccc1)(O)O)C
4154,5jvi,6.51,CC[C@H](CNC(=O)[C@@H](NP(CNC(=O)OCc1ccccc1)(O)O)CC(C)C)C
4155,5jxn,6.41,CC[C@H](CNC(=O)[C@@H](NP(CNC(=O)OCc1ccccc1)(O)O)CC(C)C)C
4156,5jxq,8.15,OCCc1ccc(cc1)CCNc1[nH]c2c(n1)cc1c(c2)c(=O)[nH]c([nH+]1)N
4157,5jy3,7.92,OCc1c(F)cc(cc1S(=O)(=O)C)c1ccc(c(c1)F)n1cc(nc1C(c1c(Cl)cccc1Cl)(C)C)C(O)(C)C
4158,5jzi,4.8,[NH3+]CCCC[C@@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)NCC(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)O)C(C)C)C)CC(=O)N)[C@H](CC)C)CC(C)C)C)C(C)C)CC(C)C)[NH3+]
4159,5k03,4.74,Cc1ccc2n(c1)c(c1ccn[nH]1)c(n2)C
4160,5k0h,7.09,O=C(CNC(=O)[C@H](NS(=O)(=O)Cc1ccccc1)COCc1ccccc1)NCc1ccc(cc1)C(=[NH2+])N
4161,5k0m,8.82,Fc1cccc2c1[C@H](CC2)[N@@H+]1C[C@@H]([C@H](C1)c1ccc(cc1)N1CCN(CC1)S(=O)(=O)C)[NH+](C)C
4162,5k1d,4.68,O[C@@H]1[C@H](O)[C@H](O[C@H]1n1cnc2c1[nH]c(N)[nH+]c2=O)COP(O)(O)O
4163,5k1f,4.79,O[C@@H]1[C@H](O)[C@H](O[C@H]1n1cnc2c1nc[nH]c2=O)COP(O)(O)O
4164,5k8s,8.22,O[C@@H]1[C@@H]2OP(O)(O)OC[C@H]2O[C@H]1n1cnc2c1ncnc2N
4165,5k9w,4.59,O=C(C(=O)O)Nc1sc2c(c1C(=O)O)CC[NH2+]C2
4166,5ka1,4.48,O=C(C(=O)O)Nc1sc2c(c1C(=O)O)CC[NH2+]C2
4167,5ka7,4.35,O=C(C(=O)O)Nc1sc2c(c1C(=O)O)CC[NH2+]C2
4168,5ka9,4.41,O=C(C(=O)O)Nc1sc2c(c1C(=O)O)CC[NH2+]C2
4169,5kab,4.68,O=C(C(=O)O)Nc1sc2c(c1C(=O)O)ccnc2
4170,5kad,4.43,O=C(C(=O)O)Nc1sc2c(c1C(=O)O)CC[NH2+]C2
4171,5kat,4.1,c1ccc(cc1)P(c1ccccc1)(c1ccccc1)c1ccccc1
4172,5kax,6.11,CCOC(=O)c1ccccc1C1c2cc(C)c(cc2Oc2c1cc(C)c(c2)NCC)NCC
4173,5kbe,6.34,Oc1ccccc1
4174,5kby,8.82,N#Cc1ccc(cc1Cn1c(cc(=O)n(c1=O)C)N1CCC[C@H](C1)[NH3+])F
4175,5kcb,6,CCN1[C@@H](c2ccccc2)c2cc(N)ccc2c2c1cc(N)cc2
4176,5kej,5.11,CCCCCCSC[C@@H](C(=O)NCC(=O)O)NC(=O)CC[C@@H](C(=O)O)[NH3+]
4177,5kh3,4.22,OC(=O)CCc1nc2c(s1)ccc(c2)Cl
4178,5khm,8.3,COc1nnc2n1nc(cc2)N1CCC(CC1)c1ccc(cc1)OCC[N@H+]1CCN(C(=O)[C@H]1C)C
4179,5kly,7.21,O[C@@H]1[C@@H](COP(NCCc2c[nH]c3c2cccc3)(O)O)O[C@H]([C@@H]1O)n1cnc2c1ncnc2N
4180,5km9,4.25,OC[C@H]1O[C@H]([C@@H]([C@@H]1O)O)n1cnc2c1ncnc2N
4181,5kma,4.71,CCNP(OC[C@H]1O[C@H]([C@@H]([C@@H]1O)O)n1cnc2c1[nH+]c(N)[nH]c2=O)(O)O
4182,5ko1,6.64,O=C([C@@H](c1ccccc1)OC(=O)c1nccnc1N)Nc1ccc(cc1)F
4183,5ko5,4.57,NC1=[NH+]C(=O)N=CC1
4184,5kqx,8.44,NC(=O)C[C@@H](C(=O)N[C@H]([C@@H](C[N@@H+]1C[C@H]2CCCC[C@H]2C[C@H]1C(=O)NC(C)(C)C)O)Cc1ccccc1)NC(=O)c1ccc2c(n1)cccc2
4185,5kqy,9.29,CC(CN(S(=O)(=O)c1ccc(cc1)N)C[C@H]([C@H](Cc1ccccc1)NC(=O)O[C@H]1CO[C@@H]2[C@H]1C=CO2)O)C
4186,5kr0,9.15,CC(CN(S(=O)(=O)c1ccc(cc1)N)C[C@H]([C@H](Cc1ccccc1)NC(=O)O[C@H]1CCOC1)O)C
4187,5kr1,9.49,CC(CN(S(=O)(=O)c1ccc(cc1)N)C[C@H]([C@H](Cc1ccccc1)NC(=O)O[C@H]1CO[C@@H]2[C@H]1C=CO2)O)C
4188,5kr2,8.48,NC(=O)C[C@@H](C(=O)N[C@H]([C@@H](C[N@@H+]1C[C@H]2CCCC[C@H]2C[C@H]1C(=O)NC(C)(C)C)O)Cc1ccccc1)NC(=O)c1ccc2c(n1)cccc2
4189,5kva,5.14,C[S@](C[C@H]1O[C@H]([C@@H]([C@@H]1O)O)n1cnc2c1ncnc2N)CC[C@@H](C(=O)O)[NH3+]
4190,5kz0,7.66,Fc1ccc(c(c1)[C@H](Oc1cc(cnc1N)c1cn(nc1C)C)C)C(=O)N(C)C
4191,5l2s,7.08,CC[N@@H+]1CC[N@@H+](CC1)Cc1ccc(nc1)Nc1ncc(c(n1)c1cc(F)c2c(c1)n(C(C)C)c(n2)C)F
4192,5l30,9.14,O=C1OC[C@H](C)c2ccc(cc2C)[C@H](C(=O)N(Cc2cc(N1)ccc2C1(CC1)c1nnn[nH]1)C)Nc1ccc2c(c1)ccnc2N
4193,5l3a,4.89,CS(=O)(=O)Nc1cccc2c1cn[nH]2
4194,5l4i,6.59,OC(=O)c1cccnc1Nc1cccc(c1C)Cl
4195,5l4j,4.28,Oc1ccc(cc1)S(=O)(=O)c1ccc(cc1)O
4196,5l4m,5.34,OC(=O)COc1nc(Cl)c(cc1Cl)Cl
4197,5l7e,6.6,Cc1onc(c1c1ccc(cc1)CNS(=O)(=O)c1ccccc1)C
4198,5l7g,7.8,Cc1noc(c1c1ccc(cc1)CNS(=O)(=O)C1(C)CC1)COc1cccc(c1F)F
4199,5l7h,7.3,Cc1noc2c1c1ccc(cc1)CNS(=O)(=O)CCCc1cc(OC2)ccc1
4200,5l8a,4.91,OCCn1nc(c2c1CC[N@@H+](C2)Cc1ccc(c2c1cccc2)OC)C(=O)NCc1ccccc1
4201,5l8c,7,COc1ccc(cc1c1ccc(cc1)C(=O)NCC(=O)N)C1=NN(C(C)C)C(=O)[C@H]2[C@@H]1CC=CC2
4202,5l8y,6.4,OCCNC(=O)CNC(=O)c1ccc(cc1)c1cc(ccc1OC)C1=NN(C2CCCCCC2)C(=O)[C@H]2[C@@H]1CC=CC2
4203,5l9g,7.7,OC[C@H]([C@H]([C@@H]([C@@H](C[NH2+][C@H](C(=O)O)CCC(=O)N)O)O)O)O
4204,5l9i,7,NC(=O)CC[C@@H](C(=O)O)[NH2+]C[C@@]1(O)OC[C@H]([C@H]([C@@H]1O)O)O
4205,5l9l,7.1,OC[C@H]([C@H]([C@@H]([C@H](C[NH2+][C@H](C(=O)O)CCC(=O)N)O)O)O)O
4206,5l9o,5.4,OC[C@H]([C@H]([C@@H]([C@H](C[NH2+][C@H](C(=O)O)CCC(=O)N)O)O)O)O
4207,5laq,9.2,COc1ccc(cc1OCCCCOc1ccc(cc1)c1nnn[nH]1)C1=NN(C2CCCCCC2)C(=O)[C@H]2[C@@H]1CC=CC2
4208,5ld8,8.05,CCCCS(=O)(=O)Nc1ccc2c(c1)n(C)nc2
4209,5ldm,3.86,OC[C@H]1O[C@H]([C@@H]([C@@H]1O)OP(O)(O)O)n1cnc2c1ncnc2N
4210,5ldp,4.17,O[C@@H]1[C@@H](COP(OP(OP(O)(O)O)(O)O)(O)O)O[C@H]([C@@H]1O)n1cnc2c1ncnc2N
4211,5lif,5.87,CC(C[C@@H](C(=O)N[C@H](C(=O)O)CC1CCCCC1)NP(CNC(=O)OCc1ccccc1)(O)O)C
4212,5ljq,9,NS(=O)(=O)c1ccc(cc1)n1nnc(c1)COc1ccccc1
4213,5ljt,8.92,NS(=O)(=O)c1ccc(cc1)OCc1nnn(c1)c1ccccc1
4214,5llc,9.52,CNc1c(F)c(c(c(c1S(=O)(=O)CCc1ccccc1)F)F)S(=O)(=O)N
4215,5lle,10.22,Fc1c(N[C@]23C[C@H]4C[C@@H](C3)C[C@@H](C2)C4)c(F)c(c(c1F)S(=O)(=O)N)F
4216,5llg,11.13,CCCSc1ccc(cc1)S(=O)(=O)N
